url,heading,release,last_edited,pub,publication,time_period,is_latest_release
https://explore-education-statistics.service.gov.uk/methodology/key-stage-4-destination-measures-methodology,Key stage 4 destination measures,Methodology,19-Oct-23,NA,Key stage 4 destination measures,,No
https://explore-education-statistics.service.gov.uk/methodology/longer-term-destinations-methodology,Longer term destinations,Methodology,20-Jul-23,NA,Longer term destinations,,No
https://explore-education-statistics.service.gov.uk/methodology/neet-statistics-annual-brief-methodology,NEET age 16 to 24: methodology,Methodology,02-Mar-23,NA,NEET age 16 to 24: methodology,,No
https://explore-education-statistics.service.gov.uk/methodology/participation-in-education-training-and-neet-age-16-to-17-by-local-authority,"Participation in education, training and NEET age 16 to 17 by local authority",Methodology,25-Jan-24,NA,"Participation in education, training and NEET age 16 to 17 by local authority",,No
https://explore-education-statistics.service.gov.uk/methodology/participation-in-education-and-training-and-employment-methodology,"Participation in education, training and employment age 16 to 18",Methodology,19-Oct-23,NA,"Participation in education, training and employment age 16 to 18",,No
https://explore-education-statistics.service.gov.uk/methodology/progression-to-higher-education-and-training-methodology,Progression to higher education and training: methodology,Methodology,19-Oct-23,NA,Progression to higher education and training: methodology,,No
https://explore-education-statistics.service.gov.uk/methodology/childcare-and-early-years-provider-survey,Childcare and early years provider survey,Methodology,14-Dec-23,NA,Childcare and early years provider survey,,No
https://explore-education-statistics.service.gov.uk/methodology/childcare-and-early-years-survey-of-parents,Childcare and early years survey of parents,Methodology,15-Aug-23,NA,Childcare and early years survey of parents,,No
https://explore-education-statistics.service.gov.uk/methodology/early-years-education-recovery,Early years education recovery,Methodology,25-Jan-24,NA,Early years education recovery,,No
https://explore-education-statistics.service.gov.uk/methodology/early-years-foundation-stage-profile-results,Early years foundation stage profile results,Methodology,30-Nov-23,NA,Early years foundation stage profile results,,No
https://explore-education-statistics.service.gov.uk/methodology/education-provision-children-under-5-years-of-age-methodology,Education provision: children under 5 years of age,Methodology,06-Jul-23,NA,Education provision: children under 5 years of age,,No
https://explore-education-statistics.service.gov.uk/methodology/la-and-school-expenditure,LA and school expenditure,Methodology,25-Jan-24,NA,LA and school expenditure,,No
https://explore-education-statistics.service.gov.uk/methodology/planned-la-and-school-expenditure,Planned LA and school expenditure,Methodology,28-Sep-23,NA,Planned LA and school expenditure,,No
https://explore-education-statistics.service.gov.uk/methodology/school-finances-during-the-covid-19-pandemic,School finances during the Covid-19 pandemic,Methodology,17-Jul-23,NA,School finances during the Covid-19 pandemic,,No
https://explore-education-statistics.service.gov.uk/methodology/school-funding-statistics-methodology,School funding statistics,Methodology,25-Jan-24,NA,School funding statistics,,No
https://explore-education-statistics.service.gov.uk/methodology/student-loan-forecasts-for-england-methodology,Student loan forecasts for England,Methodology,29-Jun-23,NA,Student loan forecasts for England,,No
https://explore-education-statistics.service.gov.uk/methodology/apprenticeships-in-england-by-industry-characteristics-methodology,Apprenticeships in England by industry characteristics: methodology,Methodology,19-Jul-22,NA,Apprenticeships in England by industry characteristics: methodology,,No
https://explore-education-statistics.service.gov.uk/methodology/career-pathways-post-16-qualifications-held-by-employees,Career pathways: post-16 qualifications held by employees,Methodology,25-May-22,NA,Career pathways: post-16 qualifications held by employees,,No
https://explore-education-statistics.service.gov.uk/methodology/detailed-destinations-of-16-to-18-year-olds-in-further-education,Detailed destinations of 16 to 18 year olds in Further Education,Methodology,25-May-22,NA,Detailed destinations of 16 to 18 year olds in Further Education,,No
https://explore-education-statistics.service.gov.uk/methodology/further-education-and-skills-statistics-methodology,Further education and skills statistics: methodology,Methodology,30-Nov-23,NA,Further education and skills statistics: methodology,,No
https://explore-education-statistics.service.gov.uk/methodology/further-education-skills-index,Further education skills index,Methodology,28-Mar-23,NA,Further education skills index,,No
https://explore-education-statistics.service.gov.uk/methodology/further-education-workforce,Further education workforce,Methodology,08-Nov-23,NA,Further education workforce,,No
https://explore-education-statistics.service.gov.uk/methodology/skills-bootcamps-outcomes,Skills Bootcamps outcomes,Methodology,22-Jun-22,NA,Skills Bootcamps outcomes,,No
https://explore-education-statistics.service.gov.uk/methodology/skills-bootcamps-starts,Skills Bootcamps starts,Methodology,09-Nov-23,NA,Skills Bootcamps starts,,No
https://explore-education-statistics.service.gov.uk/methodology/foundation-years-statistics,"Foundation years participation, provision and outcomes at HE providers in 2021 to 2022",Methodology,19-Oct-23,NA,"Foundation years participation, provision and outcomes at HE providers in 2021 to 2022",,No
https://explore-education-statistics.service.gov.uk/methodology/graduate-labour-market-statistics-methodology,Graduate labour market statistics,Methodology,29-Jun-23,NA,Graduate labour market statistics,,No
https://explore-education-statistics.service.gov.uk/methodology/graduate-outcomes-leo-methodology,Graduate outcomes (LEO),Methodology,27-May-22,NA,Graduate outcomes (LEO),,No
https://explore-education-statistics.service.gov.uk/methodology/graduate-outcomes-leo-postgraduate-outcomes-methodology,Graduate outcomes (LEO): postgraduate outcomes,Methodology,20-May-21,NA,Graduate outcomes (LEO): postgraduate outcomes,,No
https://explore-education-statistics.service.gov.uk/methodology/higher-level-learners-in-england-methodology,Higher-level learners in England: Methodology,Methodology,25-May-23,NA,Higher-level learners in England: Methodology,,No
https://explore-education-statistics.service.gov.uk/methodology/leo-graduate-and-postgraduate-outcomes,LEO Graduate and Postgraduate Outcomes,Methodology,06-Jul-23,NA,LEO Graduate and Postgraduate Outcomes,,No
https://explore-education-statistics.service.gov.uk/methodology/graduate-outcomes-leo-provider-level-data-methodology,LEO Graduate outcomes provider level data,Methodology,06-Jul-23,NA,LEO Graduate outcomes provider level data,,No
https://explore-education-statistics.service.gov.uk/methodology/participation-measures-in-higher-education-methodology,Participation measures in higher education,Methodology,26-Oct-23,NA,Participation measures in higher education,,No
https://explore-education-statistics.service.gov.uk/methodology/uk-revenue-from-education-related-exports-and-transnational-education-activity,UK revenue from education related exports and transnational education activity,Methodology,16-Dec-21,NA,UK revenue from education related exports and transnational education activity,,No
https://explore-education-statistics.service.gov.uk/methodology/widening-participation-in-higher-education-methodology,Widening participation in higher education,Methodology,13-Jul-23,NA,Widening participation in higher education,,No
https://explore-education-statistics.service.gov.uk/methodology/children-missing-education,Children missing education,Methodology,25-Jan-24,NA,Children missing education,,No
https://explore-education-statistics.service.gov.uk/methodology/education-children-s-social-care-and-offending-descriptive-statistics-technical-note,"Education, children’s social care and offending: Descriptive statistics (technical note)",Methodology,30-Mar-23,NA,"Education, children’s social care and offending: Descriptive statistics (technical note)",,No
https://explore-education-statistics.service.gov.uk/methodology/education-health-and-care-plans-methodology,"Education, health and care plans",Methodology,08-Jun-23,NA,"Education, health and care plans",,No
https://explore-education-statistics.service.gov.uk/methodology/elective-home-education,Elective home education,Methodology,25-Jan-24,NA,Elective home education,,No
https://explore-education-statistics.service.gov.uk/methodology/local-authority-school-places-scorecards-methodology,Local authority school places scorecards,Methodology,29-Jun-23,NA,Local authority school places scorecards,,No
https://explore-education-statistics.service.gov.uk/methodology/national-tutoring-programme-statistics-methodology,National Tutoring Programme Statistics Methodology,Methodology,14-Dec-23,NA,National Tutoring Programme Statistics Methodology,,No
https://explore-education-statistics.service.gov.uk/methodology/national-pupil-projections-methodology,National pupil projections,Methodology,19-Oct-23,NA,National pupil projections,,No
https://explore-education-statistics.service.gov.uk/methodology/parental-responsibility-measures-methodology,Parental responsibility measures,Methodology,14-Dec-23,NA,Parental responsibility measures,,No
https://explore-education-statistics.service.gov.uk/methodology/pupil-absence-in-schools-in-england,Pupil absence statistics: methodology,Methodology,18-May-23,NA,Pupil absence statistics: methodology,,No
https://explore-education-statistics.service.gov.uk/methodology/pupil-attendance-in-schools,Pupil attendance in schools,Methodology,07-Dec-23,NA,Pupil attendance in schools,,No
https://explore-education-statistics.service.gov.uk/methodology/pupil-exclusion-statistics-methodology,Pupil exclusion statistics: methodology,Methodology,20-Jul-23,NA,Pupil exclusion statistics: methodology,,No
https://explore-education-statistics.service.gov.uk/methodology/school-admission-appeals-in-england-methodology,School admission appeals in England: methodology,Methodology,17-Aug-23,NA,School admission appeals in England: methodology,,No
https://explore-education-statistics.service.gov.uk/methodology/school-capacity-methodology,School capacity,Methodology,24-Mar-23,NA,School capacity,,No
https://explore-education-statistics.service.gov.uk/methodology/school-placements-for-children-from-outside-of-the-uk,School placements for children from outside of the UK,Methodology,13-Oct-22,NA,School placements for children from outside of the UK,,No
https://explore-education-statistics.service.gov.uk/methodology/school-places-sufficiency-survey-methodology,School places sufficiency survey: methodology,Methodology,25-Mar-21,NA,School places sufficiency survey: methodology,,No
https://explore-education-statistics.service.gov.uk/methodology/schools-pupils-and-their-characteristics-methodology,"Schools, pupils and their characteristics",Methodology,08-Jun-23,NA,"Schools, pupils and their characteristics",,No
https://explore-education-statistics.service.gov.uk/methodology/secondary-and-primary-school-applications-and-offers-methodology,Secondary and primary school applications and offers,Methodology,15-Jun-23,NA,Secondary and primary school applications and offers,,No
https://explore-education-statistics.service.gov.uk/methodology/special-educational-needs-in-england,Special educational needs in England,Methodology,16-Jun-22,NA,Special educational needs in England,,No
https://explore-education-statistics.service.gov.uk/methodology/the-link-between-absence-and-attainment-at-ks2-and-ks4,The link between absence and attainment at KS2 and KS4,Methodology,06-May-22,NA,The link between absence and attainment at KS2 and KS4,,No
https://explore-education-statistics.service.gov.uk/methodology/a-level-and-other-16-to-18-results,A level and other 16 to 18 results,Methodology,01-Feb-24,NA,A level and other 16 to 18 results,,No
https://explore-education-statistics.service.gov.uk/methodology/key-stage-1-and-phonics-screening-check-attainment,Key stage 1 and phonics screening check attainment,Methodology,12-Oct-23,NA,Key stage 1 and phonics screening check attainment,,No
https://explore-education-statistics.service.gov.uk/methodology/key-stage-2-attainment,Key stage 2 attainment,Methodology,14-Dec-23,NA,Key stage 2 attainment,,No
https://explore-education-statistics.service.gov.uk/methodology/key-stage-4-performance-methodology,Key stage 4 performance,Methodology,19-Oct-23,NA,Key stage 4 performance,,No
https://explore-education-statistics.service.gov.uk/methodology/level-2-and-3-attainment-by-young-people-aged-19-methodology,Level 2 and 3 attainment age 16 to 25,Methodology,27-Apr-23,NA,Level 2 and 3 attainment age 16 to 25,,No
https://explore-education-statistics.service.gov.uk/methodology/multi-academy-trust-performance-measures-key-stages-2-4-and-5,"Multi-academy trust performance measures (Key stages 2, 4 and 5)",Methodology,16-Mar-23,NA,"Multi-academy trust performance measures (Key stages 2, 4 and 5)",,No
https://explore-education-statistics.service.gov.uk/methodology/multiplication-tables-check-attainment,Multiplication tables check attainment,Methodology,23-Nov-23,NA,Multiplication tables check attainment,,No
https://explore-education-statistics.service.gov.uk/methodology/provisional-t-level-results,Provisional T Level results,Methodology,17-Aug-23,NA,Provisional T Level results,,No
https://explore-education-statistics.service.gov.uk/methodology/ecf-and-npq-starts,ECF and NPQ starts,Methodology,14-Mar-23,NA,ECF and NPQ starts,,No
https://explore-education-statistics.service.gov.uk/methodology/initial-teacher-training-census,Initial Teacher Training Census,Methodology,07-Dec-23,NA,Initial Teacher Training Census,,No
https://explore-education-statistics.service.gov.uk/methodology/initial-teacher-training-performance-profiles-methodology,Initial teacher training performance profiles,Methodology,27-Jul-23,NA,Initial teacher training performance profiles,,No
https://explore-education-statistics.service.gov.uk/methodology/school-workforce-in-england-methodolgy,School workforce in England,Methodology,28-Jun-23,NA,School workforce in England,,No
https://explore-education-statistics.service.gov.uk/methodology/teacher-and-leader-development-ecf-and-npqs,Teacher and Leader development: ECF and NPQs,Methodology,04-Oct-23,NA,Teacher and Leader development: ECF and NPQs,,No
https://explore-education-statistics.service.gov.uk/methodology/education-and-training-statistics-for-the-uk-methodology,Education and training statistics for the UK,Methodology,09-Nov-23,NA,Education and training statistics for the UK,,No
https://explore-education-statistics.service.gov.uk/methodology/technical-documentation-2022,Employer Skills Survey 2022,Methodology,02-Oct-23,NA,Employer Skills Survey 2022,,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-absence-in-schools-in-england,Pupil absence in schools in England,Autumn and spring term 2022/23,19-Oct-23,NA,Pupil absence in schools in England,2022/23,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools,Pupil attendance in schools,Week 6 2024,22-Feb-24,NA,Pupil attendance in schools,Week 6 2024,No
https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships,Apprenticeships,Academic year 2023/24,15-Feb-24,NA,Apprenticeships,2023/24,No
https://explore-education-statistics.service.gov.uk/find-statistics/16-18-destination-measures,16-18 destination measures,Academic year 2021/22,01-Feb-24,NA,16-18 destination measures,2021/22,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures,Key stage 4 destination measures,Academic year 2021/22,01-Feb-24,NA,Key stage 4 destination measures,2021/22,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance,Key stage 4 performance,Academic year 2022/23,01-Feb-24,NA,Key stage 4 performance,2022/23,No
https://explore-education-statistics.service.gov.uk/find-statistics/a-level-and-other-16-to-18-results,A level and other 16 to 18 results,Academic year 2022/23,01-Feb-24,NA,A level and other 16 to 18 results,2022/23,No
https://explore-education-statistics.service.gov.uk/find-statistics/school-funding-statistics,School funding statistics,Financial year 2023-24,25-Jan-24,NA,School funding statistics,2023-24,No
https://explore-education-statistics.service.gov.uk/find-statistics/further-education-and-skills,Further education and skills,Academic year 2023/24,25-Jan-24,NA,Further education and skills,2023/24,No
https://explore-education-statistics.service.gov.uk/find-statistics/early-years-education-recovery,Early years education recovery,Jan-24,25-Jan-24,NA,Early years education recovery,Jan-24,No
https://explore-education-statistics.service.gov.uk/find-statistics/la-and-school-expenditure,LA and school expenditure,Financial year 2022-23,25-Jan-24,NA,LA and school expenditure,2022-23,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/data-guidance,Pupil attendance in schools,Week 6 2024,22-Feb-24,NA,Pupil attendance in schools,Week 6 2024,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/prerelease-access-list,Pupil attendance in schools,Week 6 2024,22-Feb-24,NA,Pupil attendance in schools,Week 6 2024,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2024-week-4,Pupil attendance in schools,Week 4 2024,08-Feb-24,NA,Pupil attendance in schools,Week 4 2024,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2024-week-2,Pupil attendance in schools,Week 2 2024,25-Jan-24,NA,Pupil attendance in schools,Week 2 2024,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-50,Pupil attendance in schools,Week 50 2023,11-Jan-24,NA,Pupil attendance in schools,Week 50 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-49,Pupil attendance in schools,Week 49 2023,21-Dec-23,NA,Pupil attendance in schools,Week 49 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-47,Pupil attendance in schools,Week 47 2023,07-Dec-23,NA,Pupil attendance in schools,Week 47 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-45,Pupil attendance in schools,Week 45 2023,23-Nov-23,NA,Pupil attendance in schools,Week 45 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-42,Pupil attendance in schools,Week 42 2023,09-Nov-23,NA,Pupil attendance in schools,Week 42 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-41,Pupil attendance in schools,Week 41 2023,26-Oct-23,NA,Pupil attendance in schools,Week 41 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-39,Pupil attendance in schools,Week 39 2023,12-Oct-23,NA,Pupil attendance in schools,Week 39 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-37,Pupil attendance in schools,Week 37 2023,28-Sep-23,NA,Pupil attendance in schools,Week 37 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-36,Pupil attendance in schools,Week 36 2023,07-Sep-23,NA,Pupil attendance in schools,Week 36 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-29,Pupil attendance in schools,Week 29 2023,10-Aug-23,NA,Pupil attendance in schools,Week 29 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-28,Pupil attendance in schools,Week 28 2023,27-Jul-23,NA,Pupil attendance in schools,Week 28 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-26,Pupil attendance in schools,Week 26 2023,13-Jul-23,NA,Pupil attendance in schools,Week 26 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-24,Pupil attendance in schools,Week 24 2023,04-Jul-23,NA,Pupil attendance in schools,Week 24 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-21,Pupil attendance in schools,Week 21 2023,15-Jun-23,NA,Pupil attendance in schools,Week 21 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-20,Pupil attendance in schools,Week 20 2023,01-Jun-23,NA,Pupil attendance in schools,Week 20 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-18,Pupil attendance in schools,Week 18 2023,18-May-23,NA,Pupil attendance in schools,Week 18 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-16,Pupil attendance in schools,Week 16 2023,04-May-23,NA,Pupil attendance in schools,Week 16 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-13,Pupil attendance in schools,Week 13 2023,20-Apr-23,NA,Pupil attendance in schools,Week 13 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-12,Pupil attendance in schools,Week 12 2023,06-Apr-23,NA,Pupil attendance in schools,Week 12 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-10,Pupil attendance in schools,Week 10 2023,23-Mar-23,NA,Pupil attendance in schools,Week 10 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-8,Pupil attendance in schools,Week 8 2023,09-Mar-23,NA,Pupil attendance in schools,Week 8 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-6,Pupil attendance in schools,Week 6 2023,23-Feb-23,NA,Pupil attendance in schools,Week 6 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-4,Pupil attendance in schools,Week 4 2023,09-Feb-23,NA,Pupil attendance in schools,Week 4 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2023-week-2,Pupil attendance in schools,Week 2 2023,26-Jan-23,NA,Pupil attendance in schools,Week 2 2023,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2022-week-50,Pupil attendance in schools,Week 50 2022,12-Jan-23,NA,Pupil attendance in schools,Week 50 2022,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2022-week-49,Pupil attendance in schools,Week 49 2022,22-Dec-22,NA,Pupil attendance in schools,Week 49 2022,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2022-week-47,Pupil attendance in schools,Week 47 2022,08-Dec-22,NA,Pupil attendance in schools,Week 47 2022,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2022-week-45,Pupil attendance in schools,Week 45 2022,24-Nov-22,NA,Pupil attendance in schools,Week 45 2022,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2022-week-42,Pupil attendance in schools,Week 42 2022,10-Nov-22,NA,Pupil attendance in schools,Week 42 2022,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2022-week-41,Pupil attendance in schools,Week 41 2022,27-Oct-22,NA,Pupil attendance in schools,Week 41 2022,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2022-week-39,Pupil attendance in schools,Week 39 2022,13-Oct-22,NA,Pupil attendance in schools,Week 39 2022,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2022-week-37,Pupil attendance in schools,Week 37 2022,29-Sep-22,NA,Pupil attendance in schools,Week 37 2022,No
https://explore-education-statistics.service.gov.uk/find-statistics/pupil-attendance-in-schools/2022-23,Pupil attendance in schools,Academic year 2022/23,08-Sep-22,NA,Pupil attendance in schools,2022/23,No
https://explore-education-statistics.service.gov.uk/data-tables/pupil-attendance-in-schools,Create your own tables,Table Tool,NA,Pupil attendance in schools,Pupil attendance in schools,,No
https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships/data-guidance,Apprenticeships,Academic year 2023/24,15-Feb-24,NA,Apprenticeships,2023/24,No
https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships/prerelease-access-list,Apprenticeships,Academic year 2023/24,15-Feb-24,NA,Apprenticeships,2023/24,No
https://explore-education-statistics.service.gov.uk/data-tables/apprenticeships,Create your own tables,Table Tool,NA,Apprenticeships,Apprenticeships,,No
https://explore-education-statistics.service.gov.uk/find-statistics/16-18-destination-measures/data-guidance,16-18 destination measures,Academic year 2021/22,01-Feb-24,NA,16-18 destination measures,2021/22,No
https://explore-education-statistics.service.gov.uk/find-statistics/16-18-destination-measures/prerelease-access-list,16-18 destination measures,Academic year 2021/22,01-Feb-24,NA,16-18 destination measures,2021/22,No
https://explore-education-statistics.service.gov.uk/find-statistics/16-18-destination-measures/2020-21,16-18 destination measures,Academic year 2020/21,20-Oct-22,NA,16-18 destination measures,2020/21,No
https://explore-education-statistics.service.gov.uk/find-statistics/16-18-destination-measures/2019-20,16-18 destination measures,Academic year 2019/20,21-Oct-21,NA,16-18 destination measures,2019/20,No
https://explore-education-statistics.service.gov.uk/find-statistics/16-18-destination-measures/2018-19,16-18 destination measures,Academic year 2018/19,19-Nov-20,NA,16-18 destination measures,2018/19,No
https://explore-education-statistics.service.gov.uk/find-statistics/16-18-destination-measures/2017-18,16-18 destination measures,Academic year 2017/18,30-Sep-20,NA,16-18 destination measures,2017/18,No
https://explore-education-statistics.service.gov.uk/data-tables/16-18-destination-measures,Create your own tables,Table Tool,NA,16-18 destination measures,16-18 destination measures,,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures/data-guidance,Key stage 4 destination measures,Academic year 2021/22,01-Feb-24,NA,Key stage 4 destination measures,2021/22,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures/prerelease-access-list,Key stage 4 destination measures,Academic year 2021/22,01-Feb-24,NA,Key stage 4 destination measures,2021/22,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures/2020-21,Key stage 4 destination measures,Academic year 2020/21,20-Oct-22,NA,Key stage 4 destination measures,2020/21,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures/2019-20,Key stage 4 destination measures,Academic year 2019/20,21-Oct-21,NA,Key stage 4 destination measures,2019/20,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures/2018-19,Key stage 4 destination measures,Academic year 2018/19,19-Nov-20,NA,Key stage 4 destination measures,2018/19,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures/2017-18,Key stage 4 destination measures,Academic year 2017/18,30-Sep-20,NA,Key stage 4 destination measures,2017/18,No
https://explore-education-statistics.service.gov.uk/data-tables/key-stage-4-destination-measures,Create your own tables,Table Tool,NA,Key stage 4 destination measures,Key stage 4 destination measures,,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance/data-guidance,Key stage 4 performance,Academic year 2022/23,01-Feb-24,NA,Key stage 4 performance,2022/23,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance/prerelease-access-list,Key stage 4 performance,Academic year 2022/23,01-Feb-24,NA,Key stage 4 performance,2022/23,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance/2021-22,Key stage 4 performance,Academic year 2021/22,20-Oct-22,NA,Key stage 4 performance,2021/22,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance/2020-21,Key stage 4 performance,Academic year 2020/21,04-Nov-21,NA,Key stage 4 performance,2020/21,No
https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-performance/2019-20,Key stage 4 performance,Academic year 2019/20,26-Nov-20,NA,Key stage 4 performance,2019/20,No
https://explore-education-statistics.service.gov.uk/data-tables/key-stage-4-performance,Create your own tables,Table Tool,NA,Key stage 4 performance,Key stage 4 performance,,No
